,zip_code,zip_freq
96104,18829,2
96194,13754,24
96237,18465,15
96240,18834,22
96265,13833,1
96266,18421,83
96278,18472,15
96286,13902,1
96289,18821,9
96362,14001,304
96450,14004,225
96520,14006,96
96548,14008,12
96560,14009,40
96569,14011,104
96589,14036,18
96590,14031,220
96594,14020,595
96601,14105,48
96611,14411,341
96622,14103,343
96629,14094,682
96657,14025,84
96687,14024,10
96689,14536,5
96690,14530,273
96703,14042,15
96704,14145,5
96705,14066,19
96711,14737,96
96714,14080,232
96735,14569,224
96764,14065,20
96769,14026,3
96770,14120,209
96771,14220,2592
96787,14226,1276
96825,14086,2145
96837,14206,2704
96875,14221,1119
96878,14210,1280
96894,14215,2288
96916,14209,672
96933,14217,546
96939,14228,538
96951,14223,2144
96967,14222,832
96983,14202,336
96999,14028,22
97039,14030,7
97058,14098,46
97062,14067,10
97063,14172,120
97095,14068,36
97101,14032,77
97115,14126,3
97116,14132,52
97130,14131,11
97133,14051,74
97252,14591,135
97283,14735,48
97316,14822,1
97317,14711,4
97327,14550,24
97331,14727,62
97355,14846,5
97377,14517,8
97474,14052,250
97475,14170,53
97476,14075,1576
97523,14141,203
97530,14171,9
97548,14057,230
97558,14101,6
97559,14034,105
97610,14755,13
97772,14059,86
97908,14207,2544
97924,14211,1136
98004,14213,2080
98047,14204,240
98145,14216,2096
98216,14224,320
98248,14214,1152
98374,14201,752
98460,14208,928
98494,14212,398
98597,14150,258
99082,14218,373
99212,14043,316
104396,14225,112
107048,14744,15
107066,14709,6
107187,14125,20
107445,14058,15
107837,14143,32
108146,14219,407
108195,14081,12
108197,14136,64
108201,14070,18
108232,14111,16
108304,14772,99
108331,14779,22
108334,14719,14
108336,14047,135
108396,14048,264
108480,14423,176
108488,14482,120
108492,14422,40
108518,14062,54
108538,14138,6
108553,14723,10
108559,14733,16
108580,14416,7
108581,14470,77
108598,14420,43
108633,14510,51
108752,14085,320
109070,14813,60
109080,14739,71
109102,14716,12
109104,14063,410
109198,14477,30
109208,14718,8
109209,14072,77
109280,14533,8
109327,14464,42
109330,14428,85
109386,14784,33
109398,14782,5
109410,14701,3417
109472,14092,315
109608,14303,56
109609,14174,87
109613,14304,98
109623,14305,113
109631,14301,110
109959,14127,48
109983,14787,140
109990,14757,88
110038,14738,10
110145,14414,264
110189,14546,115
110194,14586,75
110198,14564,365
110203,14623,965
110234,14469,200
110249,14534,144
110285,14471,19
110300,14487,108
110308,14467,176
110312,14472,38
110313,14506,35
110324,14454,46
110350,14475,8
110398,14837,64
110406,14810,105
110413,14512,125
110418,14891,13
110420,14445,111
110423,14619,1107
110449,14450,352
110464,14624,2542
110490,14618,1223
110510,14425,784
110670,14432,12
110671,14437,66
110675,14572,32
110696,14544,36
110713,14561,99
110722,14463,2
110739,14609,3369
110752,14611,1131
110778,14615,1352
110804,14607,624
110819,14605,546
110832,14580,1296
110840,14612,1924
110853,14613,1014
110866,14606,1846
110892,14621,2015
110905,14526,148
110907,14519,78
110912,14622,1404
110948,14610,1001
110961,14617,1482
111049,14608,663
111114,14616,2379
111127,14559,61
111128,14468,83
111129,14626,2119
112270,14620,1131
112619,14625,660
112723,14522,99
112914,14568,30
112929,14505,96
113147,14532,13
113148,14513,528
113376,14589,70
113763,14504,108
113990,14840,15
113994,14815,7
114014,14809,42
114048,16920,6
114049,14801,20
114054,14821,21
114286,14843,43
114300,14807,6
114395,14806,48
114414,14803,1
114431,14839,13
114475,14804,4
115027,14708,11
115038,14897,9
115041,16923,15
115049,16748,8
115050,14715,54
115057,14895,200
115065,14760,170
115074,14710,39
115083,14743,8
115085,14880,22
115102,14712,17
115105,16350,12
115144,14724,9
115145,14767,20
115303,16405,76
115332,16743,7
115392,14781,15
115397,14750,250
115431,14722,15
115477,16407,46
115521,16345,21
115561,16442,6
115562,16510,532
115574,16441,125
115579,16504,520
115584,16509,462
115591,16354,60
115596,16511,180
115601,16438,207
115672,16428,28
115910,16427,5
115917,16503,245
115964,16421,5
116062,16915,15
116064,16365,144
116073,16701,259
116103,14753,16
116279,14775,21
116299,16937,1
116300,14905,72
116324,14830,329
116331,16950,70
116348,16928,18
116410,14865,5
116412,14904,202
116416,14903,60
116436,14871,14
116459,16946,12
116514,14894,6
116556,16936,15
116653,14864,4
116683,14816,2
116914,14870,17
116955,16929,18
117285,18848,30
117304,16947,30
117361,16948,2
117363,16922,6
117364,16901,30
117366,16921,3
117372,16933,140
117494,15003,38
117511,15004,1
117512,15054,4
117514,15312,4
117515,15021,20
117517,15301,2628
117553,15078,3
117554,26062,138
117555,15057,265
117561,15026,240
117603,15071,360
117636,15050,3
117655,15005,66
117673,15001,78
117735,15126,170
117803,15065,35
117804,15024,26
117805,15084,28
117806,15044,107
117807,15101,66
117808,16046,52
117839,15238,58
117843,15014,8
117847,15068,44
117850,15656,14
117857,16229,117
117866,15144,100
117888,15042,80
117895,15139,23
117898,15051,14
117924,16059,51
118016,15076,4
118073,15147,585
118125,15136,85
118126,15216,79
118127,15220,66
118128,15237,166
118129,15102,106
118130,15235,162
118132,15202,79
118133,15236,114
118134,15203,68
118135,15229,53
118136,15234,61
118138,15213,57
118139,15221,109
118142,15243,59
118143,15224,50
118144,15215,43
118145,15212,143
118146,15241,107
118147,15217,87
118148,15205,88
118162,15009,430
118372,15010,78
118389,15012,9
118391,15108,175
118392,15074,247
118417,15017,316
118517,15037,216
118528,15146,348
118532,15228,54
118533,15211,77
118557,15022,23
118574,15025,67
118672,15204,32
118675,26037,36
118676,15233,20
118694,15063,16
118696,15210,98
118697,15110,26
118699,43920,118
118703,15046,50
118708,26034,528
118732,26047,48
118766,43968,153
118772,15059,140
118806,15214,59
118811,15027,60
118849,43952,107
118854,43964,176
118858,15106,146
118955,15061,21
118990,15052,60
119313,15209,39
119315,15321,18
119387,44432,336
119528,15116,44
119588,15056,6
119685,26035,6
119732,15033,8
119734,15145,19
119735,15104,51
119738,15207,32
119741,15120,287
119749,15132,45
119759,15232,33
119761,15227,108
119839,15208,25
119842,15222,40
119856,15317,179
119909,15045,18
119911,15135,10
119923,15035,6
119944,15330,11
119988,15064,8
120007,15419,32
120023,15218,55
120053,15332,20
120066,15314,10
120070,15219,38
120075,15206,76
120083,15122,56
120102,15129,38
120122,15642,168
120153,15428,36
120162,15133,22
120163,15088,3
120200,15131,20
120204,15239,61
120212,15226,49
120293,15350,2
120387,15055,40
120441,15089,4
120445,15047,2
120471,15067,1
120483,15034,7
120539,15112,11
120620,15363,5
120648,15342,136
120679,15148,15
120742,15431,10
